id,sku,name,categoryId,categoryName,manufacturerId,manufacturerName,description,unitOfMeasure,availableQty,price,showPrice,imageUrl,specSheetUrl,featured,specs,pricingTiers,isActive,createdAt
3,TIM-32210,Timken Tapered Roller Bearing 32210,1,Bearings,3,Timken,"Single row tapered roller bearing. Bore 50mm, OD 90mm, Width 24.75mm. High radial and axial load capacity, ideal for heavy-duty applications.",Each,32,89.00,True,https://cdn.create.vista.com/api/media/small/363393714/stock-photo-ball-bearings-steel-metal-industrial-spare-parts-various-sizes-isolated,,False,,,True,2026-05-14T22:10:57.764Z
4,SKF-22220-E,SKF Spherical Roller Bearing 22220 E,1,Bearings,1,SKF,"Double row spherical roller bearing with cylindrical bore. Bore 100mm, OD 180mm, Width 46mm. Self-aligning capability for misalignment applications.",Each,15,245.00,False,https://m.media-amazon.com/images/I/41Oe6Y+UN6L.jpg,,False,,,True,2026-05-14T22:10:59.225Z
5,NSK-NU210-EW,NSK Cylindrical Roller Bearing NU210EW,1,Bearings,2,NSK,"Single row cylindrical roller bearing, removable inner ring. Bore 50mm, OD 90mm, Width 20mm. High radial load capacity for heavy industrial use.",Each,56,67.25,True,https://m.media-amazon.com/images/I/51x-AMmCvhL.jpg,,False,,,True,2026-05-14T22:11:00.575Z
6,GATES-AX40,Gates AX40 Cogged V-Belt,2,Power Transmission,5,Gates,"Classical raw-edge cogged V-belt, AX40 (1/2"" x 42"" OC). Superior flexibility and heat resistance. For use with variable-speed drives and standard V-belt sheaves.",Each,234,18.95,True,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",,False,,,True,2026-05-14T22:11:01.802Z
7,DODGE-SH-2-5/8,Dodge Sure-H Sheave 2-Groove 5/8 Bore,2,Power Transmission,4,Dodge,"2-groove sheave for B/C section belts. 5/8 bore, 6 pitch diameter. Cast iron construction for long service life.",Each,42,54.00,True,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,,False,,,True,2026-05-14T22:11:03.230Z
8,GATES-8MGT-20S,Gates Poly Chain 8MGT-20S-21 Sprocket,2,Power Transmission,5,Gates,"Synchronous belt sprocket for 8MGT Poly Chain GT belts. 20 teeth, 1 bore, steel construction. For precision timing applications.",Each,28,78.50,False,https://m.media-amazon.com/images/I/61lEjZ9cXnL.jpg,,False,,,True,2026-05-14T22:11:04.818Z
9,DODGE-FC-200,Dodge FC-200 Flexible Coupling,2,Power Transmission,4,Dodge,"Jaw-type flexible coupling, 200 frame size. Accommodates up to 3 degrees angular misalignment. Suitable for pump and motor connections.",Each,67,125.00,True,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",,False,,,True,2026-05-14T22:11:06.253Z
13,KMT-2522222,Kennametal 1/2in 4-Flute Carbide End Mill,4,Cutting Tools,7,Kennametal,"Solid carbide square end mill, 1/2 diameter, 4-flute. AlTiN coating for hardened materials and stainless steel. 3in OAL.",Each,64,42.00,True,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,,False,,,True,2026-05-14T22:11:12.092Z
14,MKT-D3348,Makita 3/8in x 12in SDS-Plus Drill Bit,4,Cutting Tools,12,Makita,"SDS-Plus carbide-tipped rotary hammer drill bit. 3/8 diameter, 12 overall length. 4-cutter tip for fast drilling in concrete and masonry.",Each,127,14.95,True,https://www.metcopacific.com/cdn/shop/products/product-image-1665482646_580x.jpg?v=1611215982,,False,,,True,2026-05-14T22:11:13.331Z
15,KMT-1025321,Kennametal Carbide Insert CNMG 432,4,Cutting Tools,7,Kennametal,"Turning insert CNMG 432, KCP25B grade. For general purpose turning of steel, stainless, and cast iron. Box of 10.",Box/10,89,68.00,False,https://www.precisebits.com/images/stub-4ff_compsmal.jpg,,False,,,True,2026-05-14T22:11:14.950Z
16,BSH-21005014,Bosch 1/2in x 6in Straight Shank Drill Bit,4,Cutting Tools,14,Bosch,"High-speed steel straight shank twist drill bit. 1/2 diameter, 6 length. Suitable for drilling steel, aluminum, and plastics.",Each,203,7.25,True,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,,False,,,True,2026-05-14T22:11:15.935Z
17,FAS-HHB-1/2-13x2,Grade 5 Hex Head Bolt 1/2-13 x 2in Box/100,5,Fasteners,8,Fastenal,"Grade 5 hex head cap screw, 1/2-13 UNC x 2 length, zinc plated. Meets SAE J429 Grade 5 specification.",Box/100,48,24.50,True,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,,False,,,True,2026-05-14T22:11:17.882Z
10,NOR-66253044,Norton 4.5in Grinding Wheel Type 27 60 Grit,3,Abrasives,6,Norton Abrasives,"Depressed center grinding wheel, 4.5 x 1/4 x 7/8. 60 grit aluminum oxide for general purpose metal grinding. 13,300 RPM max.",Each,312,4.25,True,https://m.media-amazon.com/images/I/81OU8GZlMSL.jpg,,False,,,True,2026-05-14T22:11:07.774Z
11,3M-501C-80G,3M Cubitron II Flap Disc 967A 80+ Grit,3,Abrasives,10,3M,"4.5in T29 flap disc with precision-shaped grain. 80+ grit for faster cut rates on stainless and carbon steel. 12,200 RPM max.",Each,188,8.50,True,https://images-na.ssl-images-amazon.com/images/I/41ptsaAGQEL.jpg,,False,,,True,2026-05-14T22:11:09.229Z
12,NOR-66261131502,Norton Blaze RapidStrip Disc 4.5in,3,Abrasives,6,Norton Abrasives,"Open weave surface conditioning disc for paint and coating removal. 4.5 diameter, non-loading construction. Works on contoured surfaces.",Each,95,6.75,True,https://m.media-amazon.com/images/I/81OU8GZlMSL.jpg,,False,,,True,2026-05-14T22:11:10.665Z
