product_id,product_name,image_ref,source_url,source_page,search_query,license,license_url,creator,source,title,retrieved_date
RPL-0003,Timken Tapered Roller Bearing 32210,https://cdn.create.vista.com/api/media/small/363393714/stock-photo-ball-bearings-steel-metal-industrial-spare-parts-various-sizes-isolated,https://cdn.create.vista.com/api/media/small/363393714/stock-photo-ball-bearings-steel-metal-industrial-spare-parts-various-sizes-isolated,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,cdn.create.vista.com,Timken Tapered Roller Bearing 32210,2026-06-28
RPL-0004,SKF Spherical Roller Bearing 22220 E,https://m.media-amazon.com/images/I/41Oe6Y+UN6L.jpg,https://m.media-amazon.com/images/I/41Oe6Y+UN6L.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,m.media-amazon.com,SKF Spherical Roller Bearing 22220 E,2026-06-28
RPL-0005,NSK Cylindrical Roller Bearing NU210EW,https://m.media-amazon.com/images/I/51x-AMmCvhL.jpg,https://m.media-amazon.com/images/I/51x-AMmCvhL.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,m.media-amazon.com,NSK Cylindrical Roller Bearing NU210EW,2026-06-28
RPL-0006,Gates AX40 Cogged V-Belt,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg","https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,images-eu.ssl-images-amazon.com,Gates AX40 Cogged V-Belt,2026-06-28
RPL-0007,Dodge Sure-H Sheave 2-Groove 5/8 Bore,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,m.media-amazon.com,Dodge Sure-H Sheave 2-Groove 5/8 Bore,2026-06-28
RPL-0008,Gates Poly Chain 8MGT-20S-21 Sprocket,https://m.media-amazon.com/images/I/61lEjZ9cXnL.jpg,https://m.media-amazon.com/images/I/61lEjZ9cXnL.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,m.media-amazon.com,Gates Poly Chain 8MGT-20S-21 Sprocket,2026-06-28
RPL-0009,Dodge FC-200 Flexible Coupling,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg","https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,images-eu.ssl-images-amazon.com,Dodge FC-200 Flexible Coupling,2026-06-28
RPL-0013,Kennametal 1/2in 4-Flute Carbide End Mill,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,m.media-amazon.com,Kennametal 1/2in 4-Flute Carbide End Mill,2026-06-28
RPL-0014,Makita 3/8in x 12in SDS-Plus Drill Bit,https://www.metcopacific.com/cdn/shop/products/product-image-1665482646_580x.jpg?v=1611215982,https://www.metcopacific.com/cdn/shop/products/product-image-1665482646_580x.jpg?v=1611215982,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,www.metcopacific.com,Makita 3/8in x 12in SDS-Plus Drill Bit,2026-06-28
RPL-0015,Kennametal Carbide Insert CNMG 432,https://www.precisebits.com/images/stub-4ff_compsmal.jpg,https://www.precisebits.com/images/stub-4ff_compsmal.jpg,,Imported from Replit reference product imageUrl,Replit reference remote image URL; commercial-use rights not verified. Replace with local licensed asset before external customer demo.,,,www.precisebits.com,Kennametal Carbide Insert CNMG 432,2026-06-28
